SGPR25_COD_DISTRI_PK,SGPR25_CODI_CAN,SGPR25_NOMBRE
1470,275,San Ignacio
1471,275,Guaitil
1472,275,Palmichal
1473,275,Cangrejal
1474,275,Sabanillas
1475,276,Alajuelita
1476,276,San Josecito
1477,276,San Antonio
1478,276,Concepción
1479,276,San Felipe
1480,277,Aserrí
1481,277,Tarbaca
1482,277,Vuelta De Jorco
1483,277,San Gabriel
1484,277,La Legua
1485,277,Monterrey
1486,277,Salitrillos
1487,278,Curridabat
1488,278,Granadilla
1490,278,Tirrases
1491,279,Desamparados
1492,279,San Miguel
1493,279,San Juan De Dios
1494,279,San Rafael Arriba
1495,279,San Antonio
1496,279,Frailes
1497,279,Patarrá
1498,279,San Cristóbal
1500,279,Damas
1501,279,San Rafael Abajo
1502,279,Gravillas
1503,279,Los Guido
1504,280,Santa María
1505,280,Jardín
1506,280,Copey
1507,281,Escazú
1508,281,San Antonio
1509,281,San Rafael
1510,282,Guadalupe
1511,282,San Francisco
1512,282,Calle Blancos
1513,282,Mata De Plátano
1514,282,Ipis
1515,282,Rancho Redondo
1516,282,Purral
1517,283,San Pablo
1518,283,San Andrés
1520,283,San Isidro
1521,283,Santa Cruz
1522,283,San Antonio
1523,284,San Pedro
1524,284,Sabanilla
1525,284,Mercedes
1526,284,San Rafael
1527,285,Colón
1530,285,Piedras Negras
1531,285,Picagres
1532,286,San Vicente
1533,286,San Jerónimo
1534,286,Trinidad
1535,287,Sn Isidro De ElGeneral
1536,287,General
1537,287,Daniel Flores
1538,287,Rivas
1539,287,San Pedro
1540,287,Platanares
1541,287,Pejibaye
1542,287,Cajón
1543,287,Barú
1544,287,Río Nuevo
1545,287,Páramo
1546,288,Santiago
1547,288,Mercedes Sur
1548,288,Barbacoas
1549,288,Grifo Alto
1550,288,San Rafael
1551,288,Candelarita
1552,288,Desamparaditos
1553,288,San Antonio
1554,288,Chires
1555,289,Carmen
1556,289,Merced
1557,289,Hospital
1558,289,Catedral
1559,289,Zapote
1560,289,San Fco D Ríos
1561,289,Uruca
1562,289,Mata Redonda
1563,289,Pavas
1564,289,Hatillo
1565,289,San Sebastián
1566,290,Santa Ana
1567,290,Salitral
1568,290,Pozos
